billboard_ranking,song,popular_or_not,spotify_popularity,bpm,loudness,key,key_scale,key_strength,chords_changes_rate,chords_key,chords_number_rate
0,Too Late,0,66,88.36068725585938,-9.983154296875,F,major,0.8998857736587524,0.061516452580690384,C#,0.01001430582255125
0,Shot Glass of Tears,0,76,110.78411865234375,-5.942302703857422,F,minor,0.5559414029121399,0.05436337739229202,E,0.0071530756540596485
0,THE WAY THINGS GOING,0,46,107.68461608886719,-8.632527351379395,F,minor,0.7454990744590759,0.05436337739229202,A,0.0071530756540596485
0,Everything She Wants,0,34,106.8756332397461,-17.608760833740234,F,minor,0.9640828371047974,0.06437768042087555,F,0.015736766159534454
0,Sleep Without Drinking,0,35,127.56416320800781,-8.338083267211914,F#,major,0.8624062538146973,0.040057223290205,F,0.0071530756540596485
0,Bury Me in Georgia - Single Edit,0,63,73.77096557617188,-8.080531120300293,F#,minor,0.41641664505004883,0.07725322246551514,F,0.015736766159534454
0,Call It a Night,0,29,115.46199035644531,-7.7838053703308105,B,major,0.7955246567726135,0.018597997725009918,Bb,0.01001430582255125
0,Hot Grease,0,39,90.91341400146484,-9.098093032836914,F,minor,0.7118082642555237,0.04721030220389366,A,0.005722460802644491
0,"Bzrp Music Sessions, Vol. 53 - Tiësto Remix",0,63,116.3161849975586,-9.03990364074707,C#,minor,0.5517494678497314,0.0443490706384182,C,0.01001430582255125
0,PARASAIL (feat. Yung Lean & Dave Chappelle),0,68,77.7526626586914,-7.685052871704102,B,major,0.7489748001098633,0.05293276160955429,Eb,0.01287553645670414
0,Put It On Da Floor Again - Instrumental,0,25,102.59637451171875,-10.775125503540039,C,minor,0.8383710384368896,0.06866952776908875,B,0.01001430582255125
0,This One's Gonna Cost Me,0,45,137.05467224121094,-6.888674736022949,C,major,0.8128587007522583,0.07439199090003967,F#,0.014306151308119297
