billboard_ranking,song,artist,year,popular_or_not,album_id,album,spotify_popularity,audio_link
75,Baby Shark,Pinkfong,2019,1,1S7mumn7D4riEX2gVWYgPO,Pinkfong Animal Songs,78,https://p.scdn.co/mp3-preview/b0618e7fab1f2953b89651b116b25b379cff3da2?cid=6a78982078cb477d900388b0470ad9ad
76,My Type,Saweetie,2019,1,7mdpibDh6Sec6o6zItcSEH,ICY,73,https://p.scdn.co/mp3-preview/e8db649970a84107daa915d122ebff908019b4e5?cid=6a78982078cb477d900388b0470ad9ad
77,Worth It,YK Osiris,2019,1,52iN0AN48yBH5pF6C65ZmI,The Golden Child,68,
78,Only Human,Jonas Brothers,2019,1,1Uf67JAtkVWfdydzFFqNF2,Happiness Begins,71,
79,Knockin' Boots,Luke Bryan,2019,1,0wnaUYW25dVLAzk41fp1Ez,Born Here Live Here Die Here,70,
80,Trip,Ella Mai,2019,1,67ErXRS9s9pVG8JmFbrdJ0,Ella Mai,75,
81,Rumor,Lee Brice,2019,1,3GyH4lUfzEkbxlaW5xTYYL,Lee Brice,72,https://p.scdn.co/mp3-preview/dd79faa244a7f607f03ebca514b9fc85edfa47ee?cid=6a78982078cb477d900388b0470ad9ad
82,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019,1,3r5hf3Cj3EMh1C2saQ8jyt,Hoodie SZN,72,https://p.scdn.co/mp3-preview/82ea9bcc8461f345226022976ee4bb1b7091cac6?cid=6a78982078cb477d900388b0470ad9ad
83,How Do You Sleep?,Sam Smith,2019,1,7baaCf70tVcUBL2bbkuXjo,How Do You Sleep?,70,
84,Baby,Lil Baby & DaBaby,2019,1,59zpaLOByFkJhc9D5Xqna9,Quality Control: Control The Streets Volume 2,76,
85,Look What God Gave Her,Thomas Rhett,2019,1,5gnWhEFNbtCn0RLG2cp90g,Center Point Road,68,
86,Good As You,Kane Brown,2019,1,4yf4bD1iM96hBH6aIc6SaF,Experiment Extended,64,https://p.scdn.co/mp3-preview/1c6390b8df31305342fa0e7060a93bc8cccacabb?cid=6a78982078cb477d900388b0470ad9ad
87,Clout,Offset Featuring Cardi B,2019,1,6bPpXqJRpjwy0hLyUGtzYc,FATHER OF 4,67,
